time (s),T1 (K),P1 (Bar),V1 (m3)
1.871999999999859,1284.5382028352649,130023.25323790814,1.0
1.872399999999859,1284.372903177148,130006.51984213485,1.0
1.872799999999859,1284.2076950858548,129989.79571719065,1.0
1.873199999999859,1284.042578515402,129973.08085841787,1.0
1.873599999999859,1283.8775534198292,129956.37526116132,1.0
1.873999999999859,1283.7126197531975,129939.67892076798,1.0
1.8743999999998588,1283.547777469582,129922.99183258621,1.0
1.8747999999998588,1283.3830265230808,129906.31399196677,1.0
1.8751999999998588,1283.2183668678078,129889.64539426191,1.0
1.8755999999998587,1283.0537984578887,129872.98603482511,1.0
1.8759999999998587,1282.8893212474804,129856.33590901317,1.0
1.8763999999998586,1282.7249351907528,129839.69501218396,1.0
1.8767999999998586,1282.5606402418955,129823.06333969746,1.0
1.8771999999998585,1282.3964363551163,129806.44088691563,1.0
1.8775999999998585,1282.2323234846428,129789.82764920224,1.0
1.8779999999998584,1282.0683015847187,129773.22362192273,1.0
1.8783999999998584,1281.9043706096109,129756.62880044499,1.0
1.8787999999998584,1281.7405305136012,129740.04318013835,1.0
1.8791999999998583,1281.5767812509923,129723.46675637428,1.0
1.8795999999998583,1281.413122776089,129706.89952452446,1.0
1.8799999999998582,1281.2495550432332,129690.3414799642,1.0
1.8803999999998582,1281.0860780067871,129673.7926180712,1.0
1.8807999999998581,1280.922691621127,129657.25293422422,1.0
1.881199999999858,1280.759395840648,129640.72242380418,1.0
1.881599999999858,1280.596190619763,129624.20108219371,1.0
1.881999999999858,1280.433075912904,129607.68890477737,1.0
1.882399999999858,1280.270051674523,129591.18588694175,1.0
1.882799999999858,1280.1071178590885,129574.69202407515,1.0
1.8831999999998579,1279.9442744210908,129558.20731156804,1.0
1.8835999999998578,1279.781521315024,129541.73174481132,1.0
1.8839999999998578,1279.618858495402,129525.2653191978,1.0
1.8843999999998577,1279.4562859167822,129508.80803012487,1.0
1.8847999999998577,1279.2938035337272,129492.35987299027,1.0
1.8851999999998577,1279.1314113008166,129475.92084319358,1.0
1.8855999999998576,1278.9691091726513,129459.49093613647,1.0
1.8859999999998576,1278.8068971038485,129443.07014722236,1.0
1.8863999999998575,1278.6447750490452,129426.65847185657,1.0
1.8867999999998575,1278.4827429628983,129410.25590544651,1.0
1.8871999999998574,1278.32080080008,129393.86244340104,1.0
1.8875999999998574,1278.1589485152808,129377.47808113106,1.0
1.8879999999998573,1277.997186063186,129361.10281404675,1.0
1.8883999999998573,1277.8355133985442,129344.73663756478,1.0
1.8887999999998573,1277.6739304761052,129328.37954710203,1.0
1.8891999999998572,1277.5124372506323,129312.03153807658,1.0
1.8895999999998572,1277.351033676912,129295.69260590906,1.0
1.8899999999998571,1277.1897197097478,129279.36274602164,1.0
1.890399999999857,1277.028495303962,129263.04195383847,1.0
1.890799999999857,1276.8673604143949,129246.73022478558,1.0
1.891199999999857,1276.7063149959076,129230.42755429103,1.0
1.891599999999857,1276.5453590033767,129214.1339377845,1.0
1.891999999999857,1276.3844923916752,129197.84937069524,1.0
1.8923999999998569,1276.2237151157308,129181.57384845815,1.0
1.8927999999998568,1276.0630271304785,129165.30736650877,1.0
1.8931999999998568,1275.9024283908714,129149.04992028448,1.0
1.8935999999998567,1275.741918851878,129132.80150522437,1.0
1.8939999999998567,1275.5814984684876,129116.56211676945,1.0
1.8943999999998566,1275.4211671957082,129100.33175036272,1.0
1.8947999999998566,1275.2609249885659,129084.11040144897,1.0
1.8951999999998566,1275.100771802104,129067.89806547484,1.0
1.8955999999998565,1274.9407075913866,129051.69473788896,1.0
1.8959999999998565,1274.7807323114803,129035.50041414028,1.0
1.8963999999998564,1274.620845917484,129019.3150896809,1.0
1.8967999999998564,1274.4610483645238,129003.1387599659,1.0
1.8971999999998563,1274.3013396077351,128986.97142045111,1.0
1.8975999999998563,1274.1417196022746,128970.81306659465,1.0
1.8979999999998562,1273.9821883033148,128954.66369385619,1.0
1.8983999999998562,1273.822745666049,128938.52329769744,1.0
1.8987999999998562,1273.6633916456874,128922.39187358187,1.0
1.8991999999998561,1273.5041261974593,128906.26941697502,1.0
1.899599999999856,1273.3449492766124,128890.15592334405,1.0
1.899999999999856,1273.1858608384064,128874.05138815756,1.0
1.900399999999856,1273.0268608381118,128857.9558068851,1.0
1.900799999999856,1272.8679492310453,128841.86917500097,1.0
1.901199999999856,1272.7091259725266,128825.79148797978,1.0
1.9015999999998559,1272.5503910178966,128809.7227412982,1.0
1.9019999999998558,1272.3917443225141,128793.66293043486,1.0
1.9023999999998558,1272.2331858417544,128777.61205086997,1.0
1.9027999999998557,1272.0747155310137,128761.57009808585,1.0
1.9031999999998557,1271.9163333457057,128745.53706756665,1.0
1.9035999999998556,1271.758039241263,128729.5129547984,1.0
1.9039999999998556,1271.599833173135,128713.49775526884,1.0
1.9043999999998555,1271.4417150967665,128697.49146446516,1.0
1.9047999999998555,1271.283684967664,128681.49407788097,1.0
1.9051999999998555,1271.1257427413302,128665.50559100944,1.0
1.9055999999998554,1270.9678883732918,128649.52599934605,1.0
1.9059999999998554,1270.8101218190889,128633.55529838782,1.0
1.9063999999998553,1270.6524430342845,128617.59348363397,1.0
1.9067999999998553,1270.494851974457,128601.64055058532,1.0
1.9071999999998552,1270.3373485952052,128585.69649474479,1.0
1.9075999999998552,1270.1799328521452,128569.76131161694,1.0
1.9079999999998551,1270.022604700912,128553.83499670839,1.0
1.908399999999855,1269.8653640971368,128537.9175455253,1.0
1.908799999999855,1269.7082109965013,128522.00895357887,1.0
1.909199999999855,1269.5511453546976,128506.10921638159,1.0
1.909599999999855,1269.394167127435,128490.21832944747,1.0
1.909999999999855,1269.2372762704395,128474.33628829228,1.0
1.9103999999998549,1269.0804727394554,128458.46308843371,1.0
1.9107999999998548,1268.9237564902462,128442.59872539128,1.0
1.9111999999998548,1268.7671274785946,128426.74319468654,1.0
1.9115999999998547,1268.6105856602994,128410.89649184266,1.0
